Cin,UKa,uly,Atl,Phi,Bos,Ber,Cha,NYC,Den,San,UMi,Tor
0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0622,0.7986,0.7704,0.7795,0.891
0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.008,0.767,0.7858,0.7777,0.7513
0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0004,0.0001,0.0307,0.7957,0.7513,0.7393,0.7104
0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0004,0.0678,0.8027,0.7228,0.7411,0.7439
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.115,0.427,0.449,0.528,0.475
0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.096,0.417,0.507,0.553,0.472
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.069,0.415,0.45,0.462,0.494
0.0,0.0,0.0002,0.0,0.0001,0.0001,0.0012,0.0001,0.0686,0.52,0.5637,0.5882,0.5666
0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0006,0.1296,1.2492,0.8091,0.7782,0.8129
0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0007,0.0005,0.1507,0.4999,0.8459,0.5084,0.5589
